Shares|Percent of Outstanding Shares|Registration|Email|Date of Birth  Organization|Address|Address Extra|City|State|Postal Code|Country|Onboarded Date|Issue Date of Security|Cancellation Date of Security|Dividends|Restricted Shares Notes
10647671.27|0.001064766|Institution 28|real_email_for_shareholder_communication@gmx.com|2181978|171 Georgia Tech Sta|398 Ferst Dr|Atlanta|GA|30380|USA|2182000||||
6273815.808|0.000627381|Institution 29|real_email_for_shareholder_communication@gmx.com|2191978|172 Georgia Tech Sta|399 Ferst Dr|Atlanta|GA|30381|USA|2192000||||
7844812.819|0.00078448|Institution 30|real_email_for_shareholder_communication@gmx.com|2201978|173 Georgia Tech Sta|400 Ferst Dr|Atlanta|GA|30382|USA|2202000||||
7348903.974|0.00073489|Institution 31|real_email_for_shareholder_communication@gmx.com|2211978|174 Georgia Tech Sta|401 Ferst Dr|Atlanta|GA|30383|USA|2212000||||
7284002.819|0.0007284|Institution 32|real_email_for_shareholder_communication@gmx.com|2221978|175 Georgia Tech Sta|402 Ferst Dr|Atlanta|GA|30384|USA|2222000||||
7164519.481|0.000716451|Institution 33|real_email_for_shareholder_communication@gmx.com|2231978|176 Georgia Tech Sta|403 Ferst Dr|Atlanta|GA|30385|USA|2232000||||
0|0|Institution 34|real_email_for_shareholder_communication@gmx.com|2241978|177 Georgia Tech Sta|404 Ferst Dr|Atlanta|GA|30386|USA|2242000||||
6589241.616|0.000658924|Institution 35|real_email_for_shareholder_communication@gmx.com|2251978|178 Georgia Tech Sta|405 Ferst Dr|Atlanta|GA|30387|USA|2252000||||
6548463.385|0.000654846|Institution 36|real_email_for_shareholder_communication@gmx.com|2261978|179 Georgia Tech Sta|406 Ferst Dr|Atlanta|GA|30388|USA|2262000||||
6521739.13|0.000652173|Institution 37|real_email_for_shareholder_communication@gmx.com|2271978|180 Georgia Tech Sta|407 Ferst Dr|Atlanta|GA|30389|USA|2272000||||
6813953.488|0.000681395|Institution 39|real_email_for_shareholder_communication@gmx.com|311978|182 Georgia Tech Sta|409 Ferst Dr|Atlanta|GA|30391|USA|2292000||||
8049999.967|0.000804999|Institution 40|real_email_for_shareholder_communication@gmx.com|321978|183 Georgia Tech Sta|410 Ferst Dr|Atlanta|GA|30392|USA|312000||||
5405405.378|0.00054054|Institution 41|real_email_for_shareholder_communication@gmx.com|331978|184 Georgia Tech Sta|411 Ferst Dr|Atlanta|GA|30393|USA|322000||||
11174569.41|0.001117456|Institution 42|real_email_for_shareholder_communication@gmx.com|341978|185 Georgia Tech Sta|412 Ferst Dr|Atlanta|GA|30394|USA|332000||||
5217391.304|0.000521739|Institution 43|real_email_for_shareholder_communication@gmx.com|351978|186 Georgia Tech Sta|413 Ferst Dr|Atlanta|GA|30395|USA|342000||||
5000000.006|0.0005|Institution 44|real_email_for_shareholder_communication@gmx.com|361978|187 Georgia Tech Sta|414 Ferst Dr|Atlanta|GA|30396|USA|352000||||
5000000|0.0005|Institution 45|real_email_for_shareholder_communication@gmx.com|371978|188 Georgia Tech Sta|415 Ferst Dr|Atlanta|GA|30397|USA|362000||||
5000000|0.0005|Institution 46|real_email_for_shareholder_communication@gmx.com|381978|189 Georgia Tech Sta|416 Ferst Dr|Atlanta|GA|30398|USA|372000||||
5051431.121|0.000505143|Institution 47|real_email_for_shareholder_communication@gmx.com|391978|190 Georgia Tech Sta|417 Ferst Dr|Atlanta|GA|30399|USA|382000||||
5000000|0.0005|Institution 48|real_email_for_shareholder_communication@gmx.com|3101978|191 Georgia Tech Sta|418 Ferst Dr|Atlanta|GA|30400|USA|392000||||
4857142.857|0.000485714|Institution 49|real_email_for_shareholder_communication@gmx.com|3111978|192 Georgia Tech Sta|419 Ferst Dr|Atlanta|GA|30401|USA|3102000||||
4025974.026|0.000402597|Institution 50|real_email_for_shareholder_communication@gmx.com|3121978|193 Georgia Tech Sta|420 Ferst Dr|Atlanta|GA|30402|USA|3112000||||
4000000|0.0004|Institution 51|real_email_for_shareholder_communication@gmx.com|3131978|194 Georgia Tech Sta|421 Ferst Dr|Atlanta|GA|30403|USA|3122000||||
10000000.02|0.000999999|Institution 52|real_email_for_shareholder_communication@gmx.com|3141978|195 Georgia Tech Sta|422 Ferst Dr|Atlanta|GA|30404|USA|3132000||||
3668046.433|0.000366804|Institution 53|real_email_for_shareholder_communication@gmx.com|3151978|196 Georgia Tech Sta|423 Ferst Dr|Atlanta|GA|30405|USA|3142000||||
3615571.168|0.000361557|Institution 54|real_email_for_shareholder_communication@gmx.com|3161978|197 Georgia Tech Sta|424 Ferst Dr|Atlanta|GA|30406|USA|3152000||||
3543815.514|0.000354381|Institution 55|real_email_for_shareholder_communication@gmx.com|3171978|198 Georgia Tech Sta|425 Ferst Dr|Atlanta|GA|30407|USA|3162000||||
3219595.045|0.000321959|Institution 57|real_email_for_shareholder_communication@gmx.com|3191978|200 Georgia Tech Sta|427 Ferst Dr|Atlanta|GA|30409|USA|3182000||||
3112359.539|0.000311236|Institution 58|real_email_for_shareholder_communication@gmx.com|3201978|201 Georgia Tech Sta|428 Ferst Dr|Atlanta|GA|30410|USA|3192000||||
3000000|0.0003|Institution 59|real_email_for_shareholder_communication@gmx.com|3211978|202 Georgia Tech Sta|429 Ferst Dr|Atlanta|GA|30411|USA|3202000||||
2980477.03|0.000298047|Institution 60|real_email_for_shareholder_communication@gmx.com|3221978|203 Georgia Tech Sta|430 Ferst Dr|Atlanta|GA|30412|USA|3212000||||
2941176.471|0.000294117|Institution 61|real_email_for_shareholder_communication@gmx.com|3231978|204 Georgia Tech Sta|431 Ferst Dr|Atlanta|GA|30413|USA|3222000||||
0|0|Institution 62|real_email_for_shareholder_communication@gmx.com|3241978|205 Georgia Tech Sta|432 Ferst Dr|Atlanta|GA|30414|USA|3232000||||
2857142.857|0.000285714|Institution 63|real_email_for_shareholder_communication@gmx.com|3251978|206 Georgia Tech Sta|433 Ferst Dr|Atlanta|GA|30415|USA|3242000||||
0.0119047|1.19E-12|Institution 64|real_email_for_shareholder_communication@gmx.com|3261978|207 Georgia Tech Sta|434 Ferst Dr|Atlanta|GA|30416|USA|3252000||||
0.0075621|7.56E-13|Institution 65|real_email_for_shareholder_communication@gmx.com|3271978|208 Georgia Tech Sta|435 Ferst Dr|Atlanta|GA|30417|USA|3262000||||
2499999.995|0.00025|Institution 66|real_email_for_shareholder_communication@gmx.com|3281978|209 Georgia Tech Sta|436 Ferst Dr|Atlanta|GA|30418|USA|3272000||||
2499999.993|0.00025|Institution 67|real_email_for_shareholder_communication@gmx.com|3291978|210 Georgia Tech Sta|437 Ferst Dr|Atlanta|GA|30419|USA|3282000||||
2484227.93|0.000248423|Institution 68|real_email_for_shareholder_communication@gmx.com|3301978|211 Georgia Tech Sta|438 Ferst Dr|Atlanta|GA|30420|USA|3292000||||
2397000|0.0002397|Institution 69|real_email_for_shareholder_communication@gmx.com|3311978|212 Georgia Tech Sta|439 Ferst Dr|Atlanta|GA|30421|USA|3302000||||
2366341.64|0.000236634|Institution 70|real_email_for_shareholder_communication@gmx.com|411978|213 Georgia Tech Sta|440 Ferst Dr|Atlanta|GA|30422|USA|3312000||||
2333333.333|0.000233333|Institution 71|real_email_for_shareholder_communication@gmx.com|421978|214 Georgia Tech Sta|441 Ferst Dr|Atlanta|GA|30423|USA|412000||||
1865|1.86E-07|Institution 72|real_email_for_shareholder_communication@gmx.com|431978|215 Georgia Tech Sta|442 Ferst Dr|Atlanta|GA|30424|USA|422000||||
2222222.211|0.000222222|Institution 73|real_email_for_shareholder_communication@gmx.com|441978|216 Georgia Tech Sta|443 Ferst Dr|Atlanta|GA|30425|USA|432000||||
2173913.043|0.000217391|Institution 74|real_email_for_shareholder_communication@gmx.com|451978|217 Georgia Tech Sta|444 Ferst Dr|Atlanta|GA|30426|USA|442000||||
2036198.042|0.00020362|Institution 75|real_email_for_shareholder_communication@gmx.com|461978|218 Georgia Tech Sta|445 Ferst Dr|Atlanta|GA|30427|USA|452000||||
2025316.456|0.000202531|Institution 76|real_email_for_shareholder_communication@gmx.com|471978|219 Georgia Tech Sta|446 Ferst Dr|Atlanta|GA|30428|USA|462000||||
2000000.682|0.0002|Institution 77|real_email_for_shareholder_communication@gmx.com|481978|220 Georgia Tech Sta|447 Ferst Dr|Atlanta|GA|30429|USA|472000||||
2000000|0.0002|Institution 78|real_email_for_shareholder_communication@gmx.com|491978|221 Georgia Tech Sta|448 Ferst Dr|Atlanta|GA|30430|USA|482000||||
8701201.206|0.000870119|Institution 80|real_email_for_shareholder_communication@gmx.com|4111978|223 Georgia Tech Sta|450 Ferst Dr|Atlanta|GA|30432|USA|4102000||||
1777777|0.000177778|Institution 81|real_email_for_shareholder_communication@gmx.com|4121978|224 Georgia Tech Sta|451 Ferst Dr|Atlanta|GA|30433|USA|4112000||||
1733333.333|0.000173333|Institution 82|real_email_for_shareholder_communication@gmx.com|4131978|225 Georgia Tech Sta|452 Ferst Dr|Atlanta|GA|30434|USA|4122000||||
1558052.434|0.000155805|Institution 83|real_email_for_shareholder_communication@gmx.com|4141978|226 Georgia Tech Sta|453 Ferst Dr|Atlanta|GA|30435|USA|4132000||||
1502359.211|0.000150236|Institution 84|real_email_for_shareholder_communication@gmx.com|4151978|227 Georgia Tech Sta|454 Ferst Dr|Atlanta|GA|30436|USA|4142000||||
1501047.619|0.000150105|Institution 85|real_email_for_shareholder_communication@gmx.com|4161978|228 Georgia Tech Sta|455 Ferst Dr|Atlanta|GA|30437|USA|4152000||||
1485689.766|0.000148569|Institution 86|real_email_for_shareholder_communication@gmx.com|4171978|229 Georgia Tech Sta|456 Ferst Dr|Atlanta|GA|30438|USA|4162000||||
1481481.481|0.000148148|Most ledgers are about this size give or take under 10B|real_email_for_shareholder_communication@gmx.com|4181978|230 Georgia Tech Sta|457 Ferst Dr|Atlanta|GA|30439|USA|4172000||||
1428571.429|0.000142857|Institution 88|real_email_for_shareholder_communication@gmx.com|4191978|231 Georgia Tech Sta|458 Ferst Dr|Atlanta|GA|30440|USA|4182000||||
1315617.381|0.000131562|Institution 89|real_email_for_shareholder_communication@gmx.com|4201978|232 Georgia Tech Sta|459 Ferst Dr|Atlanta|GA|30441|USA|4192000||||
1305000.024|0.0001305|Institution 90|real_email_for_shareholder_communication@gmx.com|4211978|233 Georgia Tech Sta|460 Ferst Dr|Atlanta|GA|30442|USA|4202000||||
1265822.785|0.000126582|Institution 91|real_email_for_shareholder_communication@gmx.com|4221978|234 Georgia Tech Sta|461 Ferst Dr|Atlanta|GA|30443|USA|4212000||||
1176470.588|0.000117647|Institution 92|real_email_for_shareholder_communication@gmx.com|4231978|235 Georgia Tech Sta|462 Ferst Dr|Atlanta|GA|30444|USA|4222000||||
1143203.346|0.00011432|Institution 93|real_email_for_shareholder_communication@gmx.com|4241978|236 Georgia Tech Sta|463 Ferst Dr|Atlanta|GA|30445|USA|4232000||||
137613.8098|1.38E-05|Institution 94|real_email_for_shareholder_communication@gmx.com|4251978|237 Georgia Tech Sta|464 Ferst Dr|Atlanta|GA|30446|USA|4242000||||
1136283.342|0.000113628|Institution 95|real_email_for_shareholder_communication@gmx.com|4261978|238 Georgia Tech Sta|465 Ferst Dr|Atlanta|GA|30447|USA|4252000||||
1126668.077|0.000112667|Institution 96|real_email_for_shareholder_communication@gmx.com|4271978|239 Georgia Tech Sta|466 Ferst Dr|Atlanta|GA|30448|USA|4262000||||
1126666.667|0.000112667|Institution 97|real_email_for_shareholder_communication@gmx.com|4281978|240 Georgia Tech Sta|467 Ferst Dr|Atlanta|GA|30449|USA|4272000||||
1107070.758|0.000110707|Institution 98|real_email_for_shareholder_communication@gmx.com|4291978|241 Georgia Tech Sta|468 Ferst Dr|Atlanta|GA|30450|USA|4282000||||
0.0137008|1.37E-12|Institution 99|real_email_for_shareholder_communication@gmx.com|4301978|242 Georgia Tech Sta|469 Ferst Dr|Atlanta|GA|30451|USA|4292000||||
1073247.213|0.000107325|Institution 100|real_email_for_shareholder_communication@gmx.com|511978|243 Georgia Tech Sta|470 Ferst Dr|Atlanta|GA|30452|USA|4302000||||
1052631.579|0.000105263|Institution 101|real_email_for_shareholder_communication@gmx.com|521978|244 Georgia Tech Sta|471 Ferst Dr|Atlanta|GA|30453|USA|512000||||
1051587.302|0.000105159|Institution 102|real_email_for_shareholder_communication@gmx.com|531978|245 Georgia Tech Sta|472 Ferst Dr|Atlanta|GA|30454|USA|522000||||
1025641.026|0.000102564|Institution 103|real_email_for_shareholder_communication@gmx.com|541978|246 Georgia Tech Sta|473 Ferst Dr|Atlanta|GA|30455|USA|532000||||
1024514.811|0.000102451|Institution 104|real_email_for_shareholder_communication@gmx.com|551978|247 Georgia Tech Sta|474 Ferst Dr|Atlanta|GA|30456|USA|542000||||
1007594.937|0.000100759|Institution 105|real_email_for_shareholder_communication@gmx.com|561978|248 Georgia Tech Sta|475 Ferst Dr|Atlanta|GA|30457|USA|552000||||
70000.75827|7.00E-06|Institution 106|real_email_for_shareholder_communication@gmx.com|571978|249 Georgia Tech Sta|476 Ferst Dr|Atlanta|GA|30458|USA|562000||||
1014784.896|0.000101478|Institution 107|real_email_for_shareholder_communication@gmx.com|581978|250 Georgia Tech Sta|477 Ferst Dr|Atlanta|GA|30459|USA|572000||||
1000000.003|1.00E-04|Institution 108|real_email_for_shareholder_communication@gmx.com|591978|251 Georgia Tech Sta|478 Ferst Dr|Atlanta|GA|30460|USA|582000||||
1000000|1.00E-04|Institution 109|real_email_for_shareholder_communication@gmx.com|5101978|252 Georgia Tech Sta|479 Ferst Dr|Atlanta|GA|30461|USA|592000||||
1000000|1.00E-04|Institution 110|real_email_for_shareholder_communication@gmx.com|5111978|253 Georgia Tech Sta|480 Ferst Dr|Atlanta|GA|30462|USA|5102000||||
1000000|1.00E-04|Institution 111|real_email_for_shareholder_communication@gmx.com|5121978|254 Georgia Tech Sta|481 Ferst Dr|Atlanta|GA|30463|USA|5112000||||
1000000|1.00E-04|Institution 112|real_email_for_shareholder_communication@gmx.com|5131978|255 Georgia Tech Sta|482 Ferst Dr|Atlanta|GA|30464|USA|5122000||||
1000000|1.00E-04|Institution 113|real_email_for_shareholder_communication@gmx.com|5141978|256 Georgia Tech Sta|483 Ferst Dr|Atlanta|GA|30465|USA|5132000||||
1000000|1.00E-04|Institution 114|real_email_for_shareholder_communication@gmx.com|5151978|257 Georgia Tech Sta|484 Ferst Dr|Atlanta|GA|30466|USA|5142000||||
11000000|0.001099999|Institution 115|real_email_for_shareholder_communication@gmx.com|5161978|258 Georgia Tech Sta|485 Ferst Dr|Atlanta|GA|30467|USA|5152000||||
1000000|1.00E-04|Institution 116|real_email_for_shareholder_communication@gmx.com|5171978|259 Georgia Tech Sta|486 Ferst Dr|Atlanta|GA|30468|USA|5162000||||
1000000|1.00E-04|Institution 117|real_email_for_shareholder_communication@gmx.com|5181978|260 Georgia Tech Sta|487 Ferst Dr|Atlanta|GA|30469|USA|5172000||||
996893.4444|9.97E-05|Institution 118|real_email_for_shareholder_communication@gmx.com|5191978|261 Georgia Tech Sta|488 Ferst Dr|Atlanta|GA|30470|USA|5182000||||
923072.8947|9.23E-05|Institution 119|real_email_for_shareholder_communication@gmx.com|5201978|262 Georgia Tech Sta|489 Ferst Dr|Atlanta|GA|30471|USA|5192000||||
902440.9741|9.02E-05|Institution 120|real_email_for_shareholder_communication@gmx.com|5211978|263 Georgia Tech Sta|490 Ferst Dr|Atlanta|GA|30472|USA|5202000||||
2014524.169|0.000201452|Institution 121|real_email_for_shareholder_communication@gmx.com|5221978|264 Georgia Tech Sta|491 Ferst Dr|Atlanta|GA|30473|USA|5212000||||
797872.3351|7.98E-05|Institution 122|real_email_for_shareholder_communication@gmx.com|5231978|265 Georgia Tech Sta|492 Ferst Dr|Atlanta|GA|30474|USA|5222000||||
791237.1604|7.91E-05|Institution 123|real_email_for_shareholder_communication@gmx.com|5241978|266 Georgia Tech Sta|493 Ferst Dr|Atlanta|GA|30475|USA|5232000||||
752759.8896|7.53E-05|Institution 124|real_email_for_shareholder_communication@gmx.com|5251978|267 Georgia Tech Sta|494 Ferst Dr|Atlanta|GA|30476|USA|5242000||||
750000|7.50E-05|Institution 125|real_email_for_shareholder_communication@gmx.com|5261978|268 Georgia Tech Sta|495 Ferst Dr|Atlanta|GA|30477|USA|5252000||||
740740.7407|7.41E-05|Institution 126|real_email_for_shareholder_communication@gmx.com|5271978|269 Georgia Tech Sta|496 Ferst Dr|Atlanta|GA|30478|USA|5262000||||
614285.7143|6.14E-05|Institution 127|real_email_for_shareholder_communication@gmx.com|5281978|270 Georgia Tech Sta|497 Ferst Dr|Atlanta|GA|30479|USA|5272000||||
700000|7.00E-05|Institution 128|real_email_for_shareholder_communication@gmx.com|5291978|271 Georgia Tech Sta|498 Ferst Dr|Atlanta|GA|30480|USA|5282000||||
684931.5068|6.85E-05|Institution 129|real_email_for_shareholder_communication@gmx.com|5301978|272 Georgia Tech Sta|499 Ferst Dr|Atlanta|GA|30481|USA|5292000||||
671834.6253|6.72E-05|Institution 130|real_email_for_shareholder_communication@gmx.com|5311978|273 Georgia Tech Sta|500 Ferst Dr|Atlanta|GA|30482|USA|5302000||||
632911.3924|6.33E-05|Institution 131|real_email_for_shareholder_communication@gmx.com|611978|274 Georgia Tech Sta|501 Ferst Dr|Atlanta|GA|30483|USA|5312000||||
629100.5291|6.29E-05|Institution 132|real_email_for_shareholder_communication@gmx.com|621978|275 Georgia Tech Sta|502 Ferst Dr|Atlanta|GA|30484|USA|612000||||
606500|6.06E-05|Institution 133|real_email_for_shareholder_communication@gmx.com|631978|276 Georgia Tech Sta|503 Ferst Dr|Atlanta|GA|30485|USA|622000||||
601000|6.01E-05|Institution 134|real_email_for_shareholder_communication@gmx.com|641978|277 Georgia Tech Sta|504 Ferst Dr|Atlanta|GA|30486|USA|632000||||
596710.1795|5.97E-05|Institution 135|real_email_for_shareholder_communication@gmx.com|651978|278 Georgia Tech Sta|505 Ferst Dr|Atlanta|GA|30487|USA|642000||||
