Shares as of 2021-07-10,Percent of Total Shares,Registration,Email,Date of Birth / Organization,Address,Address Extra,City,State,Postal Code,Country,Onboarded Date,Issue Date of Security,Cancellation Date of Security,Restricted Shares Notes
6222222.2222222,0.006222221600000039,Institution 38,real_email_for_shareholder_communication@gmx.com,2/28/1978,181 Georgia Tech Sta,408 Ferst Dr,Atlanta,GA,30390,USA,2/28/2000,,,
6813953.488372,0.00681395280697672,Institution 39,real_email_for_shareholder_communication@gmx.com,3/1/1978,182 Georgia Tech Sta,409 Ferst Dr,Atlanta,GA,30391,USA,2/29/2000,,,
8049999.9666667,0.008049999161666785,Institution 40,real_email_for_shareholder_communication@gmx.com,3/2/1978,183 Georgia Tech Sta,410 Ferst Dr,Atlanta,GA,30392,USA,3/1/2000,,,
5405405.3783783,0.0054054048378378156,Institution 41,real_email_for_shareholder_communication@gmx.com,3/3/1978,184 Georgia Tech Sta,411 Ferst Dr,Atlanta,GA,30393,USA,3/2/2000,,,
11174569.4097998,0.01117456829234297,Institution 42,real_email_for_shareholder_communication@gmx.com,3/4/1978,185 Georgia Tech Sta,412 Ferst Dr,Atlanta,GA,30394,USA,3/3/2000,,,
5217391.3043477,0.005217390782608623,Institution 43,real_email_for_shareholder_communication@gmx.com,3/5/1978,186 Georgia Tech Sta,413 Ferst Dr,Atlanta,GA,30395,USA,3/4/2000,,,
5000000.0058426,0.00499999950584265,Institution 44,real_email_for_shareholder_communication@gmx.com,3/6/1978,187 Georgia Tech Sta,414 Ferst Dr,Atlanta,GA,30396,USA,3/5/2000,,,
5000000.0,0.00499999950000005,Institution 45,real_email_for_shareholder_communication@gmx.com,3/7/1978,188 Georgia Tech Sta,415 Ferst Dr,Atlanta,GA,30397,USA,3/6/2000,,,
5000000.0,0.00499999950000005,Institution 46,real_email_for_shareholder_communication@gmx.com,3/8/1978,189 Georgia Tech Sta,416 Ferst Dr,Atlanta,GA,30398,USA,3/7/2000,,,
5051431.1212121,0.005051430616069038,Institution 47,real_email_for_shareholder_communication@gmx.com,3/9/1978,190 Georgia Tech Sta,417 Ferst Dr,Atlanta,GA,30399,USA,3/8/2000,,,
5000000.0,0.00499999950000005,Institution 48,real_email_for_shareholder_communication@gmx.com,3/10/1978,191 Georgia Tech Sta,418 Ferst Dr,Atlanta,GA,30400,USA,3/9/2000,,,
4857142.8571428,0.004857142371428563,Institution 49,real_email_for_shareholder_communication@gmx.com,3/11/1978,192 Georgia Tech Sta,419 Ferst Dr,Atlanta,GA,30401,USA,3/10/2000,,,
4025974.025974,0.004025973623376638,Institution 50,real_email_for_shareholder_communication@gmx.com,3/12/1978,193 Georgia Tech Sta,420 Ferst Dr,Atlanta,GA,30402,USA,3/11/2000,,,
4000000.0,0.00399999960000004,Institution 51,real_email_for_shareholder_communication@gmx.com,3/13/1978,194 Georgia Tech Sta,421 Ferst Dr,Atlanta,GA,30403,USA,3/12/2000,,,
17956733.0893655,0.017956731293692373,Institution 52,real_email_for_shareholder_communication@gmx.com,3/14/1978,195 Georgia Tech Sta,422 Ferst Dr,Atlanta,GA,30404,USA,3/13/2000,,,
3668046.4327432,0.0036680460659385935,Institution 53,real_email_for_shareholder_communication@gmx.com,3/15/1978,196 Georgia Tech Sta,423 Ferst Dr,Atlanta,GA,30405,USA,3/14/2000,,,
3615571.168295,0.0036155708067379193,Institution 54,real_email_for_shareholder_communication@gmx.com,3/16/1978,197 Georgia Tech Sta,424 Ferst Dr,Atlanta,GA,30406,USA,3/15/2000,,,
3543815.513883,0.003543815159501484,Institution 55,real_email_for_shareholder_communication@gmx.com,3/17/1978,198 Georgia Tech Sta,425 Ferst Dr,Atlanta,GA,30407,USA,3/16/2000,,,
3219595.045238,0.003219594723278528,Institution 57,real_email_for_shareholder_communication@gmx.com,3/19/1978,200 Georgia Tech Sta,427 Ferst Dr,Atlanta,GA,30409,USA,3/18/2000,,,
3112359.5393258,0.003112359228089877,Institution 58,real_email_for_shareholder_communication@gmx.com,3/20/1978,201 Georgia Tech Sta,428 Ferst Dr,Atlanta,GA,30410,USA,3/19/2000,,,
3000000.0,0.00299999970000003,Institution 59,real_email_for_shareholder_communication@gmx.com,3/21/1978,202 Georgia Tech Sta,429 Ferst Dr,Atlanta,GA,30411,USA,3/20/2000,,,
2980477.03,0.002980476731952327,Institution 60,real_email_for_shareholder_communication@gmx.com,3/22/1978,203 Georgia Tech Sta,430 Ferst Dr,Atlanta,GA,30412,USA,3/21/2000,,,
2941176.4705882,0.0029411761764705823,Institution 61,real_email_for_shareholder_communication@gmx.com,3/23/1978,204 Georgia Tech Sta,431 Ferst Dr,Atlanta,GA,30413,USA,3/22/2000,,,
0.0,0.0,Institution 62,real_email_for_shareholder_communication@gmx.com,3/24/1978,205 Georgia Tech Sta,432 Ferst Dr,Atlanta,GA,30414,USA,3/23/2000,,,
2857142.8571428,0.002857142571428543,Institution 63,real_email_for_shareholder_communication@gmx.com,3/25/1978,206 Georgia Tech Sta,433 Ferst Dr,Atlanta,GA,30415,USA,3/24/2000,,,
0.0119047,1.1904698809530121e-11,Institution 64,real_email_for_shareholder_communication@gmx.com,3/26/1978,207 Georgia Tech Sta,434 Ferst Dr,Atlanta,GA,30416,USA,3/25/2000,,,
2150000.0075621,0.0021499997925621206,Institution 65,real_email_for_shareholder_communication@gmx.com,3/27/1978,208 Georgia Tech Sta,435 Ferst Dr,Atlanta,GA,30417,USA,3/26/2000,,,
2499999.9949495,0.0024999997449495254,Institution 66,real_email_for_shareholder_communication@gmx.com,3/28/1978,209 Georgia Tech Sta,436 Ferst Dr,Atlanta,GA,30418,USA,3/27/2000,,,
2499999.9926533,0.0024999997426533257,Institution 67,real_email_for_shareholder_communication@gmx.com,3/29/1978,210 Georgia Tech Sta,437 Ferst Dr,Atlanta,GA,30419,USA,3/28/2000,,,
2484227.9303545,0.002484227681931732,Institution 68,real_email_for_shareholder_communication@gmx.com,3/30/1978,211 Georgia Tech Sta,438 Ferst Dr,Atlanta,GA,30420,USA,3/29/2000,,,
2397000.0,0.002396999760300024,Institution 69,real_email_for_shareholder_communication@gmx.com,3/31/1978,212 Georgia Tech Sta,439 Ferst Dr,Atlanta,GA,30421,USA,3/30/2000,,,
2366341.6399084,0.0023663414032742596,Institution 70,real_email_for_shareholder_communication@gmx.com,4/1/1978,213 Georgia Tech Sta,440 Ferst Dr,Atlanta,GA,30422,USA,3/31/2000,,,
2333333.3333333,0.00233333309999999,Institution 71,real_email_for_shareholder_communication@gmx.com,4/2/1978,214 Georgia Tech Sta,441 Ferst Dr,Atlanta,GA,30423,USA,4/1/2000,,,
2314865.1296296,0.00231486489814311,Institution 72,real_email_for_shareholder_communication@gmx.com,4/3/1978,215 Georgia Tech Sta,442 Ferst Dr,Atlanta,GA,30424,USA,4/2/2000,,,
2222222.2111111,0.0022222219888889012,Institution 73,real_email_for_shareholder_communication@gmx.com,4/4/1978,216 Georgia Tech Sta,443 Ferst Dr,Atlanta,GA,30425,USA,4/3/2000,,,
2173913.0434782,0.0021739128260869177,Institution 74,real_email_for_shareholder_communication@gmx.com,4/5/1978,217 Georgia Tech Sta,444 Ferst Dr,Atlanta,GA,30426,USA,4/4/2000,,,
2036198.0421052,0.002036197838485416,Institution 75,real_email_for_shareholder_communication@gmx.com,4/6/1978,218 Georgia Tech Sta,445 Ferst Dr,Atlanta,GA,30427,USA,4/5/2000,,,
2025316.4556962,0.002025316253164575,Institution 76,real_email_for_shareholder_communication@gmx.com,4/7/1978,219 Georgia Tech Sta,446 Ferst Dr,Atlanta,GA,30428,USA,4/6/2000,,,
2000000.6817927,0.002000000481792652,Institution 77,real_email_for_shareholder_communication@gmx.com,4/8/1978,220 Georgia Tech Sta,447 Ferst Dr,Atlanta,GA,30429,USA,4/7/2000,,,
2000000.0,0.00199999980000002,Institution 78,real_email_for_shareholder_communication@gmx.com,4/9/1978,221 Georgia Tech Sta,448 Ferst Dr,Atlanta,GA,30430,USA,4/8/2000,,,
1944444.444444,0.0019444442499995751,Institution 80,real_email_for_shareholder_communication@gmx.com,4/11/1978,223 Georgia Tech Sta,450 Ferst Dr,Atlanta,GA,30432,USA,4/10/2000,,,
1777777.0,0.0017777768222223178,Institution 81,real_email_for_shareholder_communication@gmx.com,4/12/1978,224 Georgia Tech Sta,451 Ferst Dr,Atlanta,GA,30433,USA,4/11/2000,,,
1733333.3333333,0.001733333159999984,Institution 82,real_email_for_shareholder_communication@gmx.com,4/13/1978,225 Georgia Tech Sta,452 Ferst Dr,Atlanta,GA,30434,USA,4/12/2000,,,
1558052.4344568,0.0015580522786515724,Institution 83,real_email_for_shareholder_communication@gmx.com,4/14/1978,226 Georgia Tech Sta,453 Ferst Dr,Atlanta,GA,30435,USA,4/13/2000,,,
1502359.2105263,0.0015023590602903938,Institution 84,real_email_for_shareholder_communication@gmx.com,4/15/1978,227 Georgia Tech Sta,454 Ferst Dr,Atlanta,GA,30436,USA,4/14/2000,,,
1501047.6190476,0.0015010474689428532,Institution 85,real_email_for_shareholder_communication@gmx.com,4/16/1978,228 Georgia Tech Sta,455 Ferst Dr,Atlanta,GA,30437,USA,4/15/2000,,,
1485689.7656179,0.0014856896170489385,Institution 86,real_email_for_shareholder_communication@gmx.com,4/17/1978,229 Georgia Tech Sta,456 Ferst Dr,Atlanta,GA,30438,USA,4/16/2000,,,
1481481.4814814,0.0014814813333332668,Most ledgers are about this size give or take under 10B,real_email_for_shareholder_communication@gmx.com,4/18/1978,230 Georgia Tech Sta,457 Ferst Dr,Atlanta,GA,30439,USA,4/17/2000,,,
1428571.4285714,0.0014285712857142715,Institution 88,real_email_for_shareholder_communication@gmx.com,4/19/1978,231 Georgia Tech Sta,458 Ferst Dr,Atlanta,GA,30440,USA,4/18/2000,,,
1315617.3805282,0.001315617248966475,Institution 89,real_email_for_shareholder_communication@gmx.com,4/20/1978,232 Georgia Tech Sta,459 Ferst Dr,Atlanta,GA,30441,USA,4/19/2000,,,
1305000.0236842,0.0013049998931842107,Institution 90,real_email_for_shareholder_communication@gmx.com,4/21/1978,233 Georgia Tech Sta,460 Ferst Dr,Atlanta,GA,30442,USA,4/20/2000,,,
1265822.7848101,0.0012658226582278342,Institution 91,real_email_for_shareholder_communication@gmx.com,4/22/1978,234 Georgia Tech Sta,461 Ferst Dr,Atlanta,GA,30443,USA,4/21/2000,,,
1176470.5882352,0.0011764704705881529,Institution 92,real_email_for_shareholder_communication@gmx.com,4/23/1978,235 Georgia Tech Sta,462 Ferst Dr,Atlanta,GA,30444,USA,4/22/2000,,,
1143203.3456179,0.0011432032312975768,Institution 93,real_email_for_shareholder_communication@gmx.com,4/24/1978,236 Georgia Tech Sta,463 Ferst Dr,Atlanta,GA,30445,USA,4/23/2000,,,
137613.8097561,0.0001376137959947204,Institution 94,real_email_for_shareholder_communication@gmx.com,4/25/1978,237 Georgia Tech Sta,464 Ferst Dr,Atlanta,GA,30446,USA,4/24/2000,,,
1136283.3421655,0.0011362832285371771,Institution 95,real_email_for_shareholder_communication@gmx.com,4/26/1978,238 Georgia Tech Sta,465 Ferst Dr,Atlanta,GA,30447,USA,4/25/2000,,,
1126668.076923,0.0011266679642562036,Institution 96,real_email_for_shareholder_communication@gmx.com,4/27/1978,239 Georgia Tech Sta,466 Ferst Dr,Atlanta,GA,30448,USA,4/26/2000,,,
1126666.6666666,0.0011266665539999446,Institution 97,real_email_for_shareholder_communication@gmx.com,4/28/1978,240 Georgia Tech Sta,467 Ferst Dr,Atlanta,GA,30449,USA,4/27/2000,,,
1107070.7575756,0.0011070706468685352,Institution 98,real_email_for_shareholder_communication@gmx.com,4/29/1978,241 Georgia Tech Sta,468 Ferst Dr,Atlanta,GA,30450,USA,4/28/2000,,,
1100000.0137008,0.0010999999037008097,Institution 99,real_email_for_shareholder_communication@gmx.com,4/30/1978,242 Georgia Tech Sta,469 Ferst Dr,Atlanta,GA,30451,USA,4/29/2000,,,
1073247.2133326,0.0010732471060078894,Institution 100,real_email_for_shareholder_communication@gmx.com,5/1/1978,243 Georgia Tech Sta,470 Ferst Dr,Atlanta,GA,30452,USA,4/30/2000,,,
1052631.5789473,0.0010526314736841527,Institution 101,real_email_for_shareholder_communication@gmx.com,5/2/1978,244 Georgia Tech Sta,471 Ferst Dr,Atlanta,GA,30453,USA,5/1/2000,,,
1051587.3015872,0.0010515871964284803,Institution 102,real_email_for_shareholder_communication@gmx.com,5/3/1978,245 Georgia Tech Sta,472 Ferst Dr,Atlanta,GA,30454,USA,5/2/2000,,,
1025641.025641,0.0010256409230769076,Institution 103,real_email_for_shareholder_communication@gmx.com,5/4/1978,246 Georgia Tech Sta,473 Ferst Dr,Atlanta,GA,30455,USA,5/3/2000,,,
1024514.8110314,0.0010245147085799291,Institution 104,real_email_for_shareholder_communication@gmx.com,5/5/1978,247 Georgia Tech Sta,474 Ferst Dr,Atlanta,GA,30456,USA,5/4/2000,,,
1007594.9367089,0.0010075948359494164,Institution 105,real_email_for_shareholder_communication@gmx.com,5/6/1978,248 Georgia Tech Sta,475 Ferst Dr,Atlanta,GA,30457,USA,5/5/2000,,,
100000.7582743,0.00010000074827422517,Institution 106,real_email_for_shareholder_communication@gmx.com,5/7/1978,249 Georgia Tech Sta,476 Ferst Dr,Atlanta,GA,30458,USA,5/6/2000,,,
1014784.8962324,0.0010147847947539206,Institution 107,real_email_for_shareholder_communication@gmx.com,5/8/1978,250 Georgia Tech Sta,477 Ferst Dr,Atlanta,GA,30459,USA,5/7/2000,,,
1000000.003077,0.0009999999030770098,Institution 108,real_email_for_shareholder_communication@gmx.com,5/9/1978,251 Georgia Tech Sta,478 Ferst Dr,Atlanta,GA,30460,USA,5/8/2000,,,
1000000.0,0.00099999990000001,Institution 109,real_email_for_shareholder_communication@gmx.com,5/10/1978,252 Georgia Tech Sta,479 Ferst Dr,Atlanta,GA,30461,USA,5/9/2000,,,
1000000.0,0.00099999990000001,Institution 110,real_email_for_shareholder_communication@gmx.com,5/11/1978,253 Georgia Tech Sta,480 Ferst Dr,Atlanta,GA,30462,USA,5/10/2000,,,
1000000.0,0.00099999990000001,Institution 111,real_email_for_shareholder_communication@gmx.com,5/12/1978,254 Georgia Tech Sta,481 Ferst Dr,Atlanta,GA,30463,USA,5/11/2000,,,
1000000.0,0.00099999990000001,Institution 112,real_email_for_shareholder_communication@gmx.com,5/13/1978,255 Georgia Tech Sta,482 Ferst Dr,Atlanta,GA,30464,USA,5/12/2000,,,
1000000.0,0.00099999990000001,Institution 113,real_email_for_shareholder_communication@gmx.com,5/14/1978,256 Georgia Tech Sta,483 Ferst Dr,Atlanta,GA,30465,USA,5/13/2000,,,
