Blockchain Address,Shares on Record Date 8/12/21 EoD UTC,Registration,Email,Address,Address Extra,City,State,Postal Code,Country
GA22TW5ZFFRB4AC7ALFJ7DOCZCY6JMKLDMSIQBWAA7WQEKHOXW57U342,7527.598896,Carmine Sheppard,real_email_for_shareholder_communication@gmx.com,239 Georgia Tech Sta,466 Ferst Dr,Atlanta,GA,30448,USA
GDBRS3Q46X4KNYCEGX6HARTESH6PCK53OLFKXI42YM3G7W4ASH5NWCEC,7500,Isiah Colon,real_email_for_shareholder_communication@gmx.com,240 Georgia Tech Sta,467 Ferst Dr,Atlanta,GA,30449,USA
GDSCVAVYZGZWBICFDSLZVYGSRSBSMZYI5QXSVG6DU3VMGJN7CM3XIXQC,7407.407407,Lynnette Turner,real_email_for_shareholder_communication@gmx.com,241 Georgia Tech Sta,468 Ferst Dr,Atlanta,GA,30450,USA
GBRODXOP4LLOQA5M23TTNTZ7Q4ARLTA4MZYOVR4KN3DVAMR33GSIJ7BV,6142.857143,Lynn Zuniga,real_email_for_shareholder_communication@gmx.com,242 Georgia Tech Sta,469 Ferst Dr,Atlanta,GA,30451,USA
GDMM4DC2YH2MVNKYOQH4VYB3Z7QPX6M6XMAZNBJSS2HHDDJ43ZWOEBGK,7000,Tanisha Harrell,real_email_for_shareholder_communication@gmx.com,243 Georgia Tech Sta,470 Ferst Dr,Atlanta,GA,30452,USA
GAG22DH2QH52NL5JQ72BBSPMTB7WXTRYZKWFJL3S2MITZPIG2T3RTRSP,6849.315068,Royce Lutz,real_email_for_shareholder_communication@gmx.com,244 Georgia Tech Sta,471 Ferst Dr,Atlanta,GA,30453,USA
GCQXLTYRSEDVKGDJE5B7KQ5ZDYVHEAUJXAPARPLZM4WH25D2I6F5PD7B,6718.346253,Araceli Lambert,real_email_for_shareholder_communication@gmx.com,245 Georgia Tech Sta,472 Ferst Dr,Atlanta,GA,30454,USA
GBWNCWX6QZYLFYMAGT5CYEVK4HQCVYHBIFEHI75RKU6CUCOTBN6TPLON,6329.113924,Alexis Simpson,real_email_for_shareholder_communication@gmx.com,246 Georgia Tech Sta,473 Ferst Dr,Atlanta,GA,30455,USA
GCSIAZ7VY4LKXU4PK42WIOVJC7IV7NBXUANT5EDFCORSFYIY54J3BHPJ,6291.005291,Eli Reilly,real_email_for_shareholder_communication@gmx.com,247 Georgia Tech Sta,474 Ferst Dr,Atlanta,GA,30456,USA
GAP2YRYLYGENLE3NETOP3IY4QIUSC63N5OFU3SXZMOQ6Y5HIALVPPA7E,6065,Casandra Moran,real_email_for_shareholder_communication@gmx.com,248 Georgia Tech Sta,475 Ferst Dr,Atlanta,GA,30457,USA
GBLMBVGIIFHXSI4CQD4Z62HTCUPKXXZOM3I3ZG2Z756MQZVVAF2C5ZGB,6010,Cameron Chandler,real_email_for_shareholder_communication@gmx.com,249 Georgia Tech Sta,476 Ferst Dr,Atlanta,GA,30458,USA
GCOHGZF3H3SBQ6KXNE6JBJCAP5LCZWJZX4N7PAVGOSQDJOIGYSFD23PE,5967.101795,Melody Nicholson,real_email_for_shareholder_communication@gmx.com,250 Georgia Tech Sta,477 Ferst Dr,Atlanta,GA,30459,USA
GBGYAMSKQYTGETJL35XGUZNHRU7FHKICMPFGKCDJMVFVGBOXGJRXMOMI,5586.592179,Randal Cochran,real_email_for_shareholder_communication@gmx.com,251 Georgia Tech Sta,478 Ferst Dr,Atlanta,GA,30460,USA
GBXG3IEPXYGV6NOTMBIIRLF7QKDLGRHDEH4PMUWDE7KA2IQY6P5ASG4Z,5555.555556,Claire Moon,real_email_for_shareholder_communication@gmx.com,252 Georgia Tech Sta,479 Ferst Dr,Atlanta,GA,30461,USA
GBEQJI6AY6BUIZB55PN5ESVX7JGQBW2Y7D7MZBLQ4IMDUYAKAGYZ5QOO,5319.349189,Lynne Shepard,real_email_for_shareholder_communication@gmx.com,253 Georgia Tech Sta,480 Ferst Dr,Atlanta,GA,30462,USA
GCG5UMOKS4LLKZK6W5K7NNRGV6NK4MDUIAS3NA4MSCO6NRUL6MYR7RJT,5255.629067,Katie Richmond,real_email_for_shareholder_communication@gmx.com,254 Georgia Tech Sta,481 Ferst Dr,Atlanta,GA,30463,USA
GC3QJ2BE7JCK6X4RKCY22JIR7GBTBNUF4FKEGTH67TO6OGBH2F3BNGBN,5076.142132,Alta Farley,real_email_for_shareholder_communication@gmx.com,255 Georgia Tech Sta,482 Ferst Dr,Atlanta,GA,30464,USA
GATYYOWWYD2VFVU67N5SNPH4FZL2OOBVE7QTDOQPPVSERJQZHLPU5KB3,5000.000004,Ambrose Blevins,real_email_for_shareholder_communication@gmx.com,256 Georgia Tech Sta,483 Ferst Dr,Atlanta,GA,30465,USA
GAJQH5ZSZJKISAUYH4XUOD6C7JFVAFL57LH3ELX67AARA23N5YS2OYAD,5000,Simon Oconnell,real_email_for_shareholder_communication@gmx.com,257 Georgia Tech Sta,484 Ferst Dr,Atlanta,GA,30466,USA
GA5Z25C4VJPQTD24WCS6F3V7ZANYQ2NZZ6D4NVQINIYXE6OJ4OLH5KCS,5000,Lacey Cohen,real_email_for_shareholder_communication@gmx.com,258 Georgia Tech Sta,485 Ferst Dr,Atlanta,GA,30467,USA
GCFA6SO3VIYPE6QGLFEHUPDO6RSG2UDZCU4A2I6TWQUMJUM6UNFT7Z4R,4999.780038,Titus Pittman,real_email_for_shareholder_communication@gmx.com,259 Georgia Tech Sta,486 Ferst Dr,Atlanta,GA,30468,USA
GC2LIO2FRDAC5KL3PO43T36X3K3WR4EPRUAUQSYCU2BC2W77SATUVKGE,4984.520124,Margery Fleming,real_email_for_shareholder_communication@gmx.com,260 Georgia Tech Sta,487 Ferst Dr,Atlanta,GA,30469,USA
GBUOW6Y3ZFYKVVPA5Z2II7LUM7L27AFOMDRTF7BP6SH2QTCKLCHXMWTU,4770.423375,Mollie Stephenson,real_email_for_shareholder_communication@gmx.com,261 Georgia Tech Sta,488 Ferst Dr,Atlanta,GA,30470,USA
GCLLTITTR6PZ23UH2KSX52PY6Z3VNFUEYHALCOMS45IUJOJ7A6XAZX6Z,4545.454545,Jessie Bolton,real_email_for_shareholder_communication@gmx.com,262 Georgia Tech Sta,489 Ferst Dr,Atlanta,GA,30471,USA
GCRMXFEV6L3P7Y42CNVJZOU63N5PDCLRQBQCI3YTJG4DFJBYN3IUUUZY,4500,Cletus Sparks,real_email_for_shareholder_communication@gmx.com,263 Georgia Tech Sta,490 Ferst Dr,Atlanta,GA,30472,USA
GAII32QLCTEDXFHEFQUCHMMAOIG2IAFRSN3GCP5IX3LSMLI325NBZZE2,4444.444222,Melva Mercado,real_email_for_shareholder_communication@gmx.com,264 Georgia Tech Sta,491 Ferst Dr,Atlanta,GA,30473,USA
GC3JG3BUYBDUN5VZS22762JGIG2E2ELJFQGCJWO7XUPENM5SNAKJL5ZK,3934.318421,Ivy Bradshaw,real_email_for_shareholder_communication@gmx.com,265 Georgia Tech Sta,492 Ferst Dr,Atlanta,GA,30474,USA
GAETJTV3CEISSX7K3RGCQENWGAQH2ALZUXNRJ5XLDTEKYNFCRPWSITHR,3797.468354,Gail Stokes,real_email_for_shareholder_communication@gmx.com,266 Georgia Tech Sta,493 Ferst Dr,Atlanta,GA,30475,USA
GC5N2OYTRDRKB7EWHTLD6JNQXDPTVDXZJ3BFYLHGH76TH37VI3D55MLK,3750,Faye Blankenship,real_email_for_shareholder_communication@gmx.com,267 Georgia Tech Sta,494 Ferst Dr,Atlanta,GA,30476,USA
GBAI7XUON5MKHW2ERJSNPUR7MBMQNV7CLSLPNTJKTINXDV3ES7P6NJ6G,3731.25,Virgilio Pierce,real_email_for_shareholder_communication@gmx.com,268 Georgia Tech Sta,495 Ferst Dr,Atlanta,GA,30477,USA
GB6CYYERSNGS7NQHKKIG5HCFRAH5TWNXU6MJOB6FYDDOPIIBBNHPNZL7,3229.018492,Beverley Jarvis,real_email_for_shareholder_communication@gmx.com,269 Georgia Tech Sta,496 Ferst Dr,Atlanta,GA,30478,USA
GD37WECSMMJEJCIFTUBYHGTLTLGPLYEERGT5ERQ2FNMLKAQE3XR6KFGW,3214.258571,German Donovan,real_email_for_shareholder_communication@gmx.com,270 Georgia Tech Sta,497 Ferst Dr,Atlanta,GA,30479,USA
GDGNYTEG3GH2JF7MTESCHAFSZKIGBUEJYER67JOWSAOOMHSUVSVE3WUO,3000,Dolly Bass,real_email_for_shareholder_communication@gmx.com,271 Georgia Tech Sta,498 Ferst Dr,Atlanta,GA,30480,USA
GD2FOC5WL6TWMPHJYIS3D77QUDADY6U7SA77TRPN445GPDCLDBMRFICR,2857.142857,Darlene Gaines,real_email_for_shareholder_communication@gmx.com,272 Georgia Tech Sta,499 Ferst Dr,Atlanta,GA,30481,USA
GD7SCJUI5Y2XYLP63PMXRFRVBYZ7PLI6N6EMY6WORTRQASERHOKZMCJD,2777.777778,Tommie Pennington,real_email_for_shareholder_communication@gmx.com,273 Georgia Tech Sta,500 Ferst Dr,Atlanta,GA,30482,USA
GD6VMPYZU24F2RET75R4KZS6ZCNDGG7WKLUJSBCFTSIUJQ5CF2NSTV2Z,2702.702703,Kristi Crosby,real_email_for_shareholder_communication@gmx.com,274 Georgia Tech Sta,501 Ferst Dr,Atlanta,GA,30483,USA
GBCL6GV3PUNPNJVQN2I43TUA3QHM4NVIGWBMISDITBY5EFLJRSMQSOLG,2659.574468,Howard Craig,real_email_for_shareholder_communication@gmx.com,275 Georgia Tech Sta,502 Ferst Dr,Atlanta,GA,30484,USA
GBMDLWCUR446ZGM7GR3VPYEB2XEZKLDWX4AZ6YVVPHBXVO5YXXEBP4HY,0.003947368,Brock Kim,real_email_for_shareholder_communication@gmx.com,276 Georgia Tech Sta,503 Ferst Dr,Atlanta,GA,30485,USA
GAIHZTADFTDBZEX2LAMKGR55XWUXJZDPBD3Y2RNC6CTGP3WQF64TPHOK,2300,Mindy Wise,real_email_for_shareholder_communication@gmx.com,277 Georgia Tech Sta,504 Ferst Dr,Atlanta,GA,30486,USA
GDBIOY64Q2VUGEYUHW2QWTOXOMLHQ47BXU7HLLXHRQAL3ZLNZ6IO72EF,1923.076923,Cole Reid,real_email_for_shareholder_communication@gmx.com,278 Georgia Tech Sta,505 Ferst Dr,Atlanta,GA,30487,USA
GDILFUJ6UE2RAROMLSWEHEYOUCA5DFN76GNME2YW3H45SNHLFGTKZFGE,1839.241839,Korey Welch,real_email_for_shareholder_communication@gmx.com,279 Georgia Tech Sta,506 Ferst Dr,Atlanta,GA,30488,USA
GBJD52Q5G5JOZSTNZO777CSV2ZQUJOIZBVAIE54ELCTWSKRLFRVOCVES,8410.803335,Derick Hardin,real_email_for_shareholder_communication@gmx.com,280 Georgia Tech Sta,507 Ferst Dr,Atlanta,GA,30489,USA
GCJ7FVVWIFIGBYAWFMQCNGYI5R33B4AQSRQCTMJGI7RIKR32M2XQJROP,1694.915254,Rae Mccarty,real_email_for_shareholder_communication@gmx.com,281 Georgia Tech Sta,508 Ferst Dr,Atlanta,GA,30490,USA
GD645YXYS67Y2I6627K3L3R6TX3L4RG2657MYION7L6USDNFE745UEXG,1621.052632,Pauline Hall,real_email_for_shareholder_communication@gmx.com,282 Georgia Tech Sta,509 Ferst Dr,Atlanta,GA,30491,USA
GCO2DVVEZMXZRFLWNJRO6ELKTE7S3VYJINLGA7FXFN4Y2DK2TL5NTAEL,1500,Moises Mcgrath,real_email_for_shareholder_communication@gmx.com,283 Georgia Tech Sta,510 Ferst Dr,Atlanta,GA,30492,USA
GAVVRDEVTHXLYXO4JFLLCRWWI6K4TFY2T3KCEWHCZNPTXWEPPXSJMPPE,1315.789474,Lemuel Weaver,real_email_for_shareholder_communication@gmx.com,284 Georgia Tech Sta,511 Ferst Dr,Atlanta,GA,30493,USA
GBJH32HFTAG7WYDVXGA3CWE2FWPX5QSGS2RDN6V6MUBML2DIGGTJXH3Q,1282.051282,Ronda Woodard,real_email_for_shareholder_communication@gmx.com,285 Georgia Tech Sta,512 Ferst Dr,Atlanta,GA,30494,USA
GC6K2SMAJ5EVF74MVNAN6WD4BCDKUYHSMVPMCF4H6LU636N2VYNB4NPS,1234.56,Elsa Mendoza,real_email_for_shareholder_communication@gmx.com,286 Georgia Tech Sta,513 Ferst Dr,Atlanta,GA,30495,USA
GBE5AIRF7TZMCLXM4XOI5ISUA4FICHCU6RKO2OSV6RQXIOMGB7WDN374,1162.790698,Son Jackson,real_email_for_shareholder_communication@gmx.com,287 Georgia Tech Sta,514 Ferst Dr,Atlanta,GA,30496,USA
GCKZRUFJQTBZHUWUPJXJZN7HBWHQYJY55MHO6WI757BAR4ZUYHQKLCMB,1123.595506,Twila Lawson,real_email_for_shareholder_communication@gmx.com,288 Georgia Tech Sta,515 Ferst Dr,Atlanta,GA,30497,USA
GBYL6WRGJELBJBIUNUZZAXMFWAQRI7RSV6UEO5GX7K2XAEWSUGEZCH3A,1123.595506,Kathie Mccarty,real_email_for_shareholder_communication@gmx.com,289 Georgia Tech Sta,516 Ferst Dr,Atlanta,GA,30498,USA
GC4VTKPVTBMZHR245EZ4FWVK7JIHVG33XFTMI4X65US3J5OXXTBHPDNM,1111.111111,Man Mclean,real_email_for_shareholder_communication@gmx.com,290 Georgia Tech Sta,517 Ferst Dr,Atlanta,GA,30499,USA
GCGS4YZOVUAHSK7IHUQ6IXHWMU37VMH6EXT5MR7JRHTNTJLFYWLN7LAV,1052.9995,Malcom Mills,real_email_for_shareholder_communication@gmx.com,291 Georgia Tech Sta,518 Ferst Dr,Atlanta,GA,30500,USA
GB6NPU7TVDR37A6M6III322EB4FJYNLY3I74XCY7EEF4TJEARU6AZP3Z,1010.10101,Ashley Hebert,real_email_for_shareholder_communication@gmx.com,292 Georgia Tech Sta,519 Ferst Dr,Atlanta,GA,30501,USA
GBNHRDSQA4DCMSNW4OC57JLSMTNSJ73YPVHLVH24BBF46JBDGR2A5CKE,1000.006617,Arthur Warren,real_email_for_shareholder_communication@gmx.com,293 Georgia Tech Sta,520 Ferst Dr,Atlanta,GA,30502,USA
GBA5B7GOXQG6XDSGYLUZK2EM46PAYPYWJZ4NBEAJGQPVXUJR74PHARHS,1000.000019,Amos Allison,real_email_for_shareholder_communication@gmx.com,294 Georgia Tech Sta,521 Ferst Dr,Atlanta,GA,30503,USA
GAQFXA3EXMHB7UJUEKUKTHROMAQBKUEUBV27IFMJJEAJ7QPHWL6763AD,1000,Karina Zhang,real_email_for_shareholder_communication@gmx.com,295 Georgia Tech Sta,522 Ferst Dr,Atlanta,GA,30504,USA
GB4HJ7EMSTR4PIX6MIOUKWRCJSUSDMMYGKJRZDET5KW7XSX6QCEVK3W5,1000,Maryann Haas,real_email_for_shareholder_communication@gmx.com,296 Georgia Tech Sta,523 Ferst Dr,Atlanta,GA,30505,USA
GDCNZUT7VWEZIEXOLDAEZG2ZEMN3FWNMELCOYV4GYK3C44I472TZUXCI,1000,Lesley Parker,real_email_for_shareholder_communication@gmx.com,297 Georgia Tech Sta,524 Ferst Dr,Atlanta,GA,30506,USA
GAAN3QVM2T2JVGWXI3AEKGCJRZ34TK7GDBCMXLKC77UXXGAECZEYKMHU,1000,Anastasia Ray,real_email_for_shareholder_communication@gmx.com,298 Georgia Tech Sta,525 Ferst Dr,Atlanta,GA,30507,USA
GDX4KKKAB3KGFPMM6RNCTQHULWKKJTLSQBDXAC7RPIFKWBOMIUN5NZAQ,1000,Jill Herrera,real_email_for_shareholder_communication@gmx.com,299 Georgia Tech Sta,526 Ferst Dr,Atlanta,GA,30508,USA
GALH5OJKUKJSMRKYCOVW6PDYNKXIHBZ7TSTHQXOOUNXTSHDL4DOEQS43,900,Abe Gibbs,real_email_for_shareholder_communication@gmx.com,300 Georgia Tech Sta,527 Ferst Dr,Atlanta,GA,30509,USA
GDJC3AWAXKPQRRGRFBO2FHWLDCSAO4SWTQZEZ6FOIPZPAMZKSK5YSNRW,800,Jay Oneal,real_email_for_shareholder_communication@gmx.com,301 Georgia Tech Sta,528 Ferst Dr,Atlanta,GA,30510,USA
GBY5MUARC5PM564KF57FMNP2MCIH7AP26DY3WSETVLNKZJVP557LRALU,733.3333333,Chrystal Curtis,real_email_for_shareholder_communication@gmx.com,302 Georgia Tech Sta,529 Ferst Dr,Atlanta,GA,30511,USA
GBYZTWHK5UCCZML5WZIU657NLUSSFFYFEMV6KXPXLI3ZHKGDX5RXYP3L,641.025641,Rosetta Potter,real_email_for_shareholder_communication@gmx.com,303 Georgia Tech Sta,530 Ferst Dr,Atlanta,GA,30512,USA
GC2TFVZE32P5POLR7LLGWEVVC37QBBLQ5UDEYR3HCILKDJIBWLBCS47P,0.000268116,Hilton Pearson,real_email_for_shareholder_communication@gmx.com,304 Georgia Tech Sta,531 Ferst Dr,Atlanta,GA,30513,USA
GDQLK2U76ECQL2KJ7GIQKDUDJWSNEQRQPZFDWZDZHHILBHYSUD3NCWCI,500,Peggy Cabrera,real_email_for_shareholder_communication@gmx.com,305 Georgia Tech Sta,532 Ferst Dr,Atlanta,GA,30514,USA
GBUPRGS3VITXKOYGUQ4ZNZF5WNQY7T7VI2NVBZJHZDQFJ7Y7CVKAMMK5,1500,Faustino Burgess,real_email_for_shareholder_communication@gmx.com,306 Georgia Tech Sta,533 Ferst Dr,Atlanta,GA,30515,USA
GBSHHKF5ROB5OTPXNECO4LIO5R2DQWZEMFWLQ3RJDVPCNODL744BLBCE,300,Lana Horn,real_email_for_shareholder_communication@gmx.com,307 Georgia Tech Sta,534 Ferst Dr,Atlanta,GA,30516,USA
GAFQ3RZOWWBFRGQ627DYQBU6ZEVZNF35WBVDH36FGSIOBPTM4K2IEZRI,100,Horacio Maldonado,real_email_for_shareholder_communication@gmx.com,308 Georgia Tech Sta,535 Ferst Dr,Atlanta,GA,30517,USA
GATCYQ7EHB2IWEEHU5TWMTU5DM6EG26ECW4IPJAJJU7SV4GPB526EI7L,55,Nita Burch,real_email_for_shareholder_communication@gmx.com,309 Georgia Tech Sta,536 Ferst Dr,Atlanta,GA,30518,USA
GDDNRISPHHGX4EJ2AOUTCIAMYPNUP2FWO73IBSBJ3ZCPWUGIHNSP4EGH,25,Lidia Reese,real_email_for_shareholder_communication@gmx.com,310 Georgia Tech Sta,537 Ferst Dr,Atlanta,GA,30519,USA
GBEUMJB57AKOARL33TSEM42VZR3OEYXMXSSW2MG6B4XQPATQMGVYZQQ7,10,Gregg Byrd,real_email_for_shareholder_communication@gmx.com,311 Georgia Tech Sta,538 Ferst Dr,Atlanta,GA,30520,USA
GAMJB72QBQZJ35TP5FWEJYPCQ27WDLQHRM33Q5LAXTSSH2LWNJ52TWAO,8.828857142,Dominic Booker,real_email_for_shareholder_communication@gmx.com,312 Georgia Tech Sta,539 Ferst Dr,Atlanta,GA,30521,USA
GD6QTK2E76PNTZE5KG4MYLJBA3CRXX2ML566QJS5SPOQU74HL67Q63QO,3,Frankie Mcdowell,real_email_for_shareholder_communication@gmx.com,313 Georgia Tech Sta,540 Ferst Dr,Atlanta,GA,30522,USA
GCECDMA55VJQTTNKLL4CMRRWBEW67O4SQLJ3LYNGHBG3YP2WRJR7HUEG,0.5,Cyril Decker,real_email_for_shareholder_communication@gmx.com,314 Georgia Tech Sta,541 Ferst Dr,Atlanta,GA,30523,USA
GDSDOWDG3YFU5XQ7AILHWKFZHG26P55D7MGGZNV5RDNEGIEMAIQKUVL4,0.303030303,Jarrett Hampton,real_email_for_shareholder_communication@gmx.com,315 Georgia Tech Sta,542 Ferst Dr,Atlanta,GA,30524,USA
GCA6ZGEH7DY7QB2OKAY6F7A7TKEEKKLWDU7W5E2PSNIWHCLLRUDWXEXD,19,Norma Ramsey,real_email_for_shareholder_communication@gmx.com,316 Georgia Tech Sta,543 Ferst Dr,Atlanta,GA,30525,USA
GCKVG5FCEDQGLGZLSZAFNAVNHQSISWTGNI5I2IPNZJ6G673ONQCT6JZI,14,Lydia Mathis,real_email_for_shareholder_communication@gmx.com,317 Georgia Tech Sta,544 Ferst Dr,Atlanta,GA,30526,USA
GD56IZEVTZ24HJCPAOEWKIBU27EFSEDVQTVK74TCOW3FABRZ2U4INRTS,33.6648,Lamont Young,real_email_for_shareholder_communication@gmx.com,318 Georgia Tech Sta,545 Ferst Dr,Atlanta,GA,30527,USA
GCG22DVOXRFZ6XDZNWQ4JK2KCVQR6T2P7JI67Q2PTCMG3PZRT6V3MKJE,61.18,Blair Campbell,real_email_for_shareholder_communication@gmx.com,319 Georgia Tech Sta,546 Ferst Dr,Atlanta,GA,30528,USA
GDGEQG2VLBCJNEXURUNFHUHFRRJ7XZJ67BB2YP2NXW5QIHJ3FHTEE37W,9.66666,Joy Riley,real_email_for_shareholder_communication@gmx.com,320 Georgia Tech Sta,547 Ferst Dr,Atlanta,GA,30529,USA
GCVCXDLDA3KVQPE2H4YT44LAZAJGKJPMLBBA4ZOXZU64MJHL5BELH6ZK,64.42069,Gabriela Best,real_email_for_shareholder_communication@gmx.com,321 Georgia Tech Sta,548 Ferst Dr,Atlanta,GA,30530,USA
