Blockchain Address,Number of Shares Not Yet Claimed on Blockchain,Registration,Email,Date of Birth / Organization,Address,Address Extra,City,State,Postal Code,Country,Onboarded Date,Issue Date of Security,Cancellation Date of Security,"Dividends ('n/a', 'Reinvested: auto', 'Reinvested: manual', 'Cash: direct deposit', 'Cash: virtual card', 'notOnboard/unresponsive')",Restricted Shares Notes
GDH6H7NKI4Z572SELNK65RABNQCJCIZE4TWFTUUCV5CDET4C62BHLU5C,,Bank of America Corporation,real_email_for_shareholder_communication@gmx.com,1/11/1978,133 Georgia Tech Sta,360 Ferst Dr,Atlanta,GA,30342,USA,1/11/2000,,,,
GALHMY7IIWNDDJQYH5SZ2GEKFGKYLBY3GRRNIKITGECOAEE2ZZ2Y7LNG,,Vanguard International Stock Index-Total Intl Stock Indx,real_email_for_shareholder_communication@gmx.com,1/12/1978,134 Georgia Tech Sta,361 Ferst Dr,Atlanta,GA,30343,USA,1/12/2000,,,,
GD3FPPINEBIVN3DAORXKBI2QA6OCAQWUO7TUONAXUMUG37HGORDJEEV2,,Vanguard International Stock Index-Emerging Markets Stk,real_email_for_shareholder_communication@gmx.com,1/13/1978,135 Georgia Tech Sta,362 Ferst Dr,Atlanta,GA,30344,USA,1/13/2000,,,,
GAK6MDFNACRLGRB3YSJLJ62WRYQ4ONSJ6S6PCXKIEP74BIFU5PGYR5SP,,KraneShares CSI China Internet ETF,real_email_for_shareholder_communication@gmx.com,1/14/1978,136 Georgia Tech Sta,363 Ferst Dr,Atlanta,GA,30345,USA,1/14/2000,,,,
GC3UU5AK5TPHX7DFBYZGDM5XTALTBJEJY2JOYJ5WGKNSYFSQDLQFHT5D,,iShares Core MSCI Emerging Markets ETF,real_email_for_shareholder_communication@gmx.com,1/15/1978,137 Georgia Tech Sta,364 Ferst Dr,Atlanta,GA,30346,USA,1/15/2000,,,,
GBKTIF47XJ3KT2FHJ7E3LSMSDVSSTUHQAM5HLV3NKN2L26TIE4TDCICH,,iShares MSCI Emerging Markets ETF,real_email_for_shareholder_communication@gmx.com,1/16/1978,138 Georgia Tech Sta,365 Ferst Dr,Atlanta,GA,30347,USA,1/16/2000,,,,
GCEKBTMUN6N6OJF3B73VLSGL5X3Z6BGHYIWV4ZW3EDKBCNZEXAODQDVY,,Delaware Group Global & International Funds-Emerging Markets Fd,real_email_for_shareholder_communication@gmx.com,1/17/1978,139 Georgia Tech Sta,366 Ferst Dr,Atlanta,GA,30348,USA,1/17/2000,,,,
GAKAKHV2FNOSUKSWLHSAS6G5EBQV6YKS24LQLBKJZACVEH73BK72QQCS,,iShares MSCI China ETF,real_email_for_shareholder_communication@gmx.com,1/18/1978,140 Georgia Tech Sta,367 Ferst Dr,Atlanta,GA,30349,USA,1/18/2000,,,,
GDWZ363ZRBFNWPY3NIG4GTAHSS6YUZZMDIXJ42GG42T3JJKRCTILSMAQ,,Amplify Online Retail ETF,real_email_for_shareholder_communication@gmx.com,1/19/1978,141 Georgia Tech Sta,368 Ferst Dr,Atlanta,GA,30350,USA,1/19/2000,,,,
GBBT2FUAXSEEHMPQRYNTBYGVBM7CIHE34IBHNXJNSCLVOFZJ4ZRS4BKC,,Vanguard Intl Equity Index Fds-FTSE All World ex U.S. Index Fund,real_email_for_shareholder_communication@gmx.com,1/20/1978,142 Georgia Tech Sta,369 Ferst Dr,Atlanta,GA,30351,USA,1/20/2000,,,,
GCYK756PQQ55EVWDI3QQIXBKM26CWSZQHA3VUV2CMX6SZEQR7TY7VC7I,,Wells Fargo Emerging Markets Equity Fd,real_email_for_shareholder_communication@gmx.com,1/21/1978,143 Georgia Tech Sta,370 Ferst Dr,Atlanta,GA,30352,USA,1/21/2000,,,,
GA2CG56MOKQTRMZ6DWEXIOTE4AZXAO23URNPUYFVGOVFJGEJKWPIZHQA,,Brokerage 1,real_email_for_shareholder_communication@gmx.com,1/22/1978,144 Georgia Tech Sta,371 Ferst Dr,Atlanta,GA,30353,USA,1/22/2000,,,,
GDTD5INMAKQNSIJG46RHOTYK3FSLYZI34ZCC2MLHYZA6DOR5OSCIB35M,,Brokerage 2,real_email_for_shareholder_communication@gmx.com,1/23/1978,145 Georgia Tech Sta,372 Ferst Dr,Atlanta,GA,30354,USA,1/23/2000,,,,
GD2Z7MPNQ7LIAOOAEWK4ZO6GEM2DQBO62FMF72ZKFLISUDRIQP5SVNBL,,Brokerage 3,real_email_for_shareholder_communication@gmx.com,1/24/1978,146 Georgia Tech Sta,373 Ferst Dr,Atlanta,GA,30355,USA,1/24/2000,,,,
GAZM6HD4VNK5URO3DQ7IT6T42SX764GMXLWKGRELLFDXCY7MQUSQ5F6M,,Brokerage 4,real_email_for_shareholder_communication@gmx.com,1/25/1978,147 Georgia Tech Sta,374 Ferst Dr,Atlanta,GA,30356,USA,1/25/2000,,,,
GDWIMRJWGN2NU4KIMNDMHZ6DES7TPDXLKNDRSC3DDUTHMNO5N32UITRC,,Brokerage 5,real_email_for_shareholder_communication@gmx.com,1/26/1978,148 Georgia Tech Sta,375 Ferst Dr,Atlanta,GA,30357,USA,1/26/2000,,,,
GDCT3GTP6N7RRB66Z3BDU2S7QNBTAQWRUR3JSVT2VHRWVKM5LCXZVVLW,,Brokerage 6,real_email_for_shareholder_communication@gmx.com,1/27/1978,149 Georgia Tech Sta,376 Ferst Dr,Atlanta,GA,30358,USA,1/27/2000,,,,
GDVWHOBOMVLHJY6U7OFUSGYW4W5AH3LRDFWFB3CWBELHZUFDDE2RINB3,,HFT 7,real_email_for_shareholder_communication@gmx.com,1/28/1978,150 Georgia Tech Sta,377 Ferst Dr,Atlanta,GA,30359,USA,1/28/2000,,,,
GALBSL3P7P2GKEYY7IYJHDHOMYLR56HI3XYKFZBWQ535HUH54S4NZ4R2,,Hedge Fund 8,real_email_for_shareholder_communication@gmx.com,1/29/1978,151 Georgia Tech Sta,378 Ferst Dr,Atlanta,GA,30360,USA,1/29/2000,,,,
GBQRQ7NGGAMIKICUGXKXIUX7A7STJBMBMBTUSD3BDQSQY4F7QUDC3BUD,,Institution 9,real_email_for_shareholder_communication@gmx.com,1/30/1978,152 Georgia Tech Sta,379 Ferst Dr,Atlanta,GA,30361,USA,1/30/2000,,,,
GCLKVLKDL6A4ADKVJUJJFHUSKMQTCURV5I5H6CS2GEI5MZOCUGGPVJIV,,Institution 10,real_email_for_shareholder_communication@gmx.com,1/31/1978,153 Georgia Tech Sta,380 Ferst Dr,Atlanta,GA,30362,USA,1/31/2000,,,,
GDNJN7Q2WQYKIRLRKDM5ROBOW5O4KGNWJNXCCKECFHR2UXRKIV5QE42F,,Institution 11,real_email_for_shareholder_communication@gmx.com,2/1/1978,154 Georgia Tech Sta,381 Ferst Dr,Atlanta,GA,30363,USA,2/1/2000,,,,
GCJZROPZSWMPRVOF5YSGBFEEFPL4KODLAMLMV3B34FU44HIZVOVHU345,,Institution 12,real_email_for_shareholder_communication@gmx.com,2/2/1978,155 Georgia Tech Sta,382 Ferst Dr,Atlanta,GA,30364,USA,2/2/2000,,,,
GB5EKD7WWALTW6LVU5P63CWEHMUPGGIWCNROH2VF32JX3AEAIWEV6SOE,,Institution 13,real_email_for_shareholder_communication@gmx.com,2/3/1978,156 Georgia Tech Sta,383 Ferst Dr,Atlanta,GA,30365,USA,2/3/2000,,,,
GD4MYT4OE3EPNKMJTYZ2LNZ3S55R7ZW3U67SSVLGOVEGBMPAQ5VXCIWX,,Institution 14,real_email_for_shareholder_communication@gmx.com,2/4/1978,157 Georgia Tech Sta,384 Ferst Dr,Atlanta,GA,30366,USA,2/4/2000,,,,
GCIZUA3KF7E37N7X6WL5L76DWWSOBJUQ7I7DIDHPSWTMEUW7OBO6C37P,,Institution 15,real_email_for_shareholder_communication@gmx.com,2/5/1978,158 Georgia Tech Sta,385 Ferst Dr,Atlanta,GA,30367,USA,2/5/2000,,,,
GBN36HA4AKQDOKZ7BU3UQWWRG4OIB3W6GTKX3R2FWCVDVKGO6SN32QW5,,Institution 16,real_email_for_shareholder_communication@gmx.com,2/6/1978,159 Georgia Tech Sta,386 Ferst Dr,Atlanta,GA,30368,USA,2/6/2000,,,,
GDUDWTCULKBQ2GJMSMJRQBW233TVN5D6LSQC7SVOSVYSWFDTLTOZYL3P,,Institution 17,real_email_for_shareholder_communication@gmx.com,2/7/1978,160 Georgia Tech Sta,387 Ferst Dr,Atlanta,GA,30369,USA,2/7/2000,,,,
GD3LNVR5XMTJC7W6F33UFHFNFD6FLIYPMDV36B6XGFBZK574V7RZYP5U,,Institution 18,real_email_for_shareholder_communication@gmx.com,2/8/1978,161 Georgia Tech Sta,388 Ferst Dr,Atlanta,GA,30370,USA,2/8/2000,,,,
GDP3WSHM6JTCGZ22JZPEWML3TQRJVSYBO24YVS5TM4TGYQBPWY4YCKE6,,Institution 19,real_email_for_shareholder_communication@gmx.com,2/9/1978,162 Georgia Tech Sta,389 Ferst Dr,Atlanta,GA,30371,USA,2/9/2000,,,,
GBS7NXIU6KB32CSH4VOOV6NCJO46HDV46DEX7PX7KUCLPJGVOQGCYVHI,,Institution 20,real_email_for_shareholder_communication@gmx.com,2/10/1978,163 Georgia Tech Sta,390 Ferst Dr,Atlanta,GA,30372,USA,2/10/2000,,,,
GA7LO3QFVQ34HDEBPYRBSMINTWKBM2BC5Y73PXWS2SE56IU2NWLK3PFU,,Institution 21,real_email_for_shareholder_communication@gmx.com,2/11/1978,164 Georgia Tech Sta,391 Ferst Dr,Atlanta,GA,30373,USA,2/11/2000,,,,
GBY6SCTWBEQKZRWLVGFOJ4EKHJBUHAFHALEAFAPSY6ABRTOQK2TBDMHR,,Institution 22,real_email_for_shareholder_communication@gmx.com,2/12/1978,165 Georgia Tech Sta,392 Ferst Dr,Atlanta,GA,30374,USA,2/12/2000,,,,
GA432I5XKKK6CIE5JXSRBXZ3GQJQOIOBZYINMQSQEIGL63W2D6V6TVAO,,Institution 23,real_email_for_shareholder_communication@gmx.com,2/13/1978,166 Georgia Tech Sta,393 Ferst Dr,Atlanta,GA,30375,USA,2/13/2000,,,,
GB4ZAR2Z4Z3NHOPWJGDTLH27WYTZCKGZOQHTCSYR2KLET6FNY3IPJZ34,,Institution 24,real_email_for_shareholder_communication@gmx.com,2/14/1978,167 Georgia Tech Sta,394 Ferst Dr,Atlanta,GA,30376,USA,2/14/2000,,,,
GDM26TOMXAVPTEIVVCC4ZXCEKQ2466BHXECHUTN5K6TVUN5C6MX44COQ,,Institution 25,real_email_for_shareholder_communication@gmx.com,2/15/1978,168 Georgia Tech Sta,395 Ferst Dr,Atlanta,GA,30377,USA,2/15/2000,,,,
GB6MIEWRGEMYBNSBYYRKT4RVZKWNCTET62Q2JLO3RB4362QUAVH4G63A,,Institution 26,real_email_for_shareholder_communication@gmx.com,2/16/1978,169 Georgia Tech Sta,396 Ferst Dr,Atlanta,GA,30378,USA,2/16/2000,,,,
GAMGYGZQGKTEXZUTDOJFQVK4QVBP6BH4YQQ67XJXNBWQOMOCBSEHTSGX,,Institution 27,real_email_for_shareholder_communication@gmx.com,2/17/1978,170 Georgia Tech Sta,397 Ferst Dr,Atlanta,GA,30379,USA,2/17/2000,,,,
GD77YGYHQ4MPL4GLIR66PLYHZHPISTTTNG3VOQSUHSPMSTGDVDUDP4EA,,Institution 28,real_email_for_shareholder_communication@gmx.com,2/18/1978,171 Georgia Tech Sta,398 Ferst Dr,Atlanta,GA,30380,USA,2/18/2000,,,,
GCQJRDWQEXXXUQE2YQSTLPWGBOB26KDTXZEQBXO2BESIWGB6HUFVA47Y,,Institution 29,real_email_for_shareholder_communication@gmx.com,2/19/1978,172 Georgia Tech Sta,399 Ferst Dr,Atlanta,GA,30381,USA,2/19/2000,,,,
GB7TWMIZLQ5RPFYJR2EXZKD42CU4CZVMVMHXFQ3DDBUCNTAV7U4K4ODF,,Institution 30,real_email_for_shareholder_communication@gmx.com,2/20/1978,173 Georgia Tech Sta,400 Ferst Dr,Atlanta,GA,30382,USA,2/20/2000,,,,
GBX5XJARWJYMPPGGBTX6UWNBQPFEHTA3ZNAH6LR6DPWTH2OOTLDH6YOV,,Institution 31,real_email_for_shareholder_communication@gmx.com,2/21/1978,174 Georgia Tech Sta,401 Ferst Dr,Atlanta,GA,30383,USA,2/21/2000,,,,
GBI7TWUOYMJ6XHTXAFEPKBQSDA6M3Y7MN5IG6HYUSU556RIKL7ZFWZ52,,Institution 32,real_email_for_shareholder_communication@gmx.com,2/22/1978,175 Georgia Tech Sta,402 Ferst Dr,Atlanta,GA,30384,USA,2/22/2000,,,,
GCPMROJVRZ3OSM3NOAUT7DAC2Y73FOEJ7XWRVKVWHUITXQBWTUFAGHS2,,Institution 33,real_email_for_shareholder_communication@gmx.com,2/23/1978,176 Georgia Tech Sta,403 Ferst Dr,Atlanta,GA,30385,USA,2/23/2000,,,,
GCP6Q5FXDJCMFHFPLM77T7WJ36P5QH3M72F4JWZHAMDBBK3TTIR3JTYA,,Institution 34,real_email_for_shareholder_communication@gmx.com,2/24/1978,177 Georgia Tech Sta,404 Ferst Dr,Atlanta,GA,30386,USA,2/24/2000,,,,
GAS3HAH2RVLXQPHZWRBTBU6WKN6PIHZYUHILF3SRHPMPR6JBDGCSBC7Y,,Institution 35,real_email_for_shareholder_communication@gmx.com,2/25/1978,178 Georgia Tech Sta,405 Ferst Dr,Atlanta,GA,30387,USA,2/25/2000,,,,
GDGZGE7UZH2WEREP3XSOJGFTVADTHOXSXS3WUQ6VVG62VBIQJKF2HHTA,,Institution 36,real_email_for_shareholder_communication@gmx.com,2/26/1978,179 Georgia Tech Sta,406 Ferst Dr,Atlanta,GA,30388,USA,2/26/2000,,,,
GB7FCCRQ6IEWJ3BIWEU7ZQGARLTNYYBPG73L7HO7PU3JAOKWRE4LWVKR,,Institution 37,real_email_for_shareholder_communication@gmx.com,2/27/1978,180 Georgia Tech Sta,407 Ferst Dr,Atlanta,GA,30389,USA,2/27/2000,,,,
GDUEJFQGYUUSZKNYRNK4B5ROMHTD5I24MQXZR7QQ7QBXE66H4NZVRQ7T,,Institution 38,real_email_for_shareholder_communication@gmx.com,2/28/1978,181 Georgia Tech Sta,408 Ferst Dr,Atlanta,GA,30390,USA,2/28/2000,,,,
GCOZ7XBG4UQBZMJKNK3ES7IG6KYJKMHCULBOW7LPIPLCRLHLXA7NFVLE,,Institution 39,real_email_for_shareholder_communication@gmx.com,3/1/1978,182 Georgia Tech Sta,409 Ferst Dr,Atlanta,GA,30391,USA,2/29/2000,,,,
GCOKWSV6XD7XYGECMWL2EOIGXD5JG5K3S6KEFA7ZL4YHBRZFX42N4XZP,,Institution 40,real_email_for_shareholder_communication@gmx.com,3/2/1978,183 Georgia Tech Sta,410 Ferst Dr,Atlanta,GA,30392,USA,3/1/2000,,,,
GCO2T2F7I76EZ732J23X4V67DT5OD6WMVTX6PT44B5HCEXNWIH3QAUPV,,Institution 41,real_email_for_shareholder_communication@gmx.com,3/3/1978,184 Georgia Tech Sta,411 Ferst Dr,Atlanta,GA,30393,USA,3/2/2000,,,,
GB2Q75L26TF7AX4JUBHHRCGPE6PR3KI5R6TL5YFVQXXCELUELKXS325E,,Institution 42,real_email_for_shareholder_communication@gmx.com,3/4/1978,185 Georgia Tech Sta,412 Ferst Dr,Atlanta,GA,30394,USA,3/3/2000,,,,
GDUXXE3MUVN4PV2RQ6TBXDCCTEP6RC3XPFKDUE2GVP4FM3366DEAFWS5,,Institution 43,real_email_for_shareholder_communication@gmx.com,3/5/1978,186 Georgia Tech Sta,413 Ferst Dr,Atlanta,GA,30395,USA,3/4/2000,,,,
GAYWKDNRODBO4KOBPNLZNME6HZAYQEDRJPLPLN2QHIGQMNCR67XXFGAA,,Institution 44,real_email_for_shareholder_communication@gmx.com,3/6/1978,187 Georgia Tech Sta,414 Ferst Dr,Atlanta,GA,30396,USA,3/5/2000,,,,
GCDXHSOSSNL4YB2A7UKZLFQX7ROGTXENEZ7GZLMJU2FXPL36C2IAU22H,,Institution 45,real_email_for_shareholder_communication@gmx.com,3/7/1978,188 Georgia Tech Sta,415 Ferst Dr,Atlanta,GA,30397,USA,3/6/2000,,,,
GDBB4TBB2X5E6ER6HAOVE4WPPQXIUBEVLWJVU2WHBZRKS56RI67U2KWD,,Institution 46,real_email_for_shareholder_communication@gmx.com,3/8/1978,189 Georgia Tech Sta,416 Ferst Dr,Atlanta,GA,30398,USA,3/7/2000,,,,
GD5ZKETFJI76MGO2KGUJQ5AUSWNO23OM6F5KJSY6L52JO244IGLTVW44,,Institution 47,real_email_for_shareholder_communication@gmx.com,3/9/1978,190 Georgia Tech Sta,417 Ferst Dr,Atlanta,GA,30399,USA,3/8/2000,,,,
GB5ZIZQJAOTTC5NPRYQLP6ZYFOJNNCZOXKSIHPBURIULT4VDBWDMXCHC,,Institution 48,real_email_for_shareholder_communication@gmx.com,3/10/1978,191 Georgia Tech Sta,418 Ferst Dr,Atlanta,GA,30400,USA,3/9/2000,,,,
GBYPY3VDKPYIFA6MZZWX4OYBOICSWGZXCE5ALIENHTJJ3RIY372KBSIE,,Institution 49,real_email_for_shareholder_communication@gmx.com,3/11/1978,192 Georgia Tech Sta,419 Ferst Dr,Atlanta,GA,30401,USA,3/10/2000,,,,
GBHBYLRZQJ5VVXM2D6AC4ITR55Z2DTFW36Q5DGRAVEDQJPOPZHBAAZJF,,Institution 50,real_email_for_shareholder_communication@gmx.com,3/12/1978,193 Georgia Tech Sta,420 Ferst Dr,Atlanta,GA,30402,USA,3/11/2000,,,,
GBDDF7ZD5NRCLUIHOHSRHRRX4YXHKDANSGBPBQJWVT6ZVVITKIUJ27H4,,Institution 51,real_email_for_shareholder_communication@gmx.com,3/13/1978,194 Georgia Tech Sta,421 Ferst Dr,Atlanta,GA,30403,USA,3/12/2000,,,,
GAA752R477CPN2QDHREK2YMLYXFJEYZC4AGJZ75Q5VIZAYYYNWRVBBUK,,Institution 52,real_email_for_shareholder_communication@gmx.com,3/14/1978,195 Georgia Tech Sta,422 Ferst Dr,Atlanta,GA,30404,USA,3/13/2000,,,,
GDL5YMAFJSUDA4D6WGBA427YXWRHDNXOV4QGKAPZ2LRUPASBA6L7NXLA,,Institution 53,real_email_for_shareholder_communication@gmx.com,3/15/1978,196 Georgia Tech Sta,423 Ferst Dr,Atlanta,GA,30405,USA,3/14/2000,,,,
GAGTDPDRJ5QTDBJ3ICKPCUOQFDLMS24TKPPJ2EIMBBTRUWSQ3TNRAJ7X,,Institution 54,real_email_for_shareholder_communication@gmx.com,3/16/1978,197 Georgia Tech Sta,424 Ferst Dr,Atlanta,GA,30406,USA,3/15/2000,,,,
GBQ3QHYBXPOLCHHDH7V3HSMXO5IRYE7O6IKV33SQXKMJHAYCXATWY4RV,,Institution 55,real_email_for_shareholder_communication@gmx.com,3/17/1978,198 Georgia Tech Sta,425 Ferst Dr,Atlanta,GA,30407,USA,3/16/2000,,,,
GA7Z7OF6LFOI2K5J4KZWU6IHLEOLTVED6MFDJYMI6IQDDRARAST5RTNM,,Institution 56,real_email_for_shareholder_communication@gmx.com,3/18/1978,199 Georgia Tech Sta,426 Ferst Dr,Atlanta,GA,30408,USA,3/17/2000,,,,
GBD6HW3U4D27YRE62R2BX3O5VW2NUIC5ADU53F6PQLTP32BZ4XH4SDLE,,Institution 57,real_email_for_shareholder_communication@gmx.com,3/19/1978,200 Georgia Tech Sta,427 Ferst Dr,Atlanta,GA,30409,USA,3/18/2000,,,,
GATYXWKG5FVK2IUOURNIS5JSSRP6HWAX3JVUOV2HUD6NRKTPS6Q2OPWQ,,Institution 58,real_email_for_shareholder_communication@gmx.com,3/20/1978,201 Georgia Tech Sta,428 Ferst Dr,Atlanta,GA,30410,USA,3/19/2000,,,,
GDKUV2VINXPLAXG3HVVUHGINITMNK54AVDDIC75NLJGJWODKAAEVZBS5,,Institution 59,real_email_for_shareholder_communication@gmx.com,3/21/1978,202 Georgia Tech Sta,429 Ferst Dr,Atlanta,GA,30411,USA,3/20/2000,,,,
GBI5CHFQIMBINZAH2WVHFJPJIT74O2V2BDXLCGOAUOE6AJEINPF7VMTN,,Institution 60,real_email_for_shareholder_communication@gmx.com,3/22/1978,203 Georgia Tech Sta,430 Ferst Dr,Atlanta,GA,30412,USA,3/21/2000,,,,
GA5OVOTMMAPRSCILUHW3HV5XA4HDICG6AFTLPCSMB7P63NIGGOLCAFKI,,Institution 61,real_email_for_shareholder_communication@gmx.com,3/23/1978,204 Georgia Tech Sta,431 Ferst Dr,Atlanta,GA,30413,USA,3/22/2000,,,,
GB4TTQSFTC7TCNU3OBXWMMDMSTBJWYQ5TJQKP4XGN2IOWM7B42Z7C375,,Institution 62,real_email_for_shareholder_communication@gmx.com,3/24/1978,205 Georgia Tech Sta,432 Ferst Dr,Atlanta,GA,30414,USA,3/23/2000,,,,
GBIJHPNK3PY6P3BGYAUVNDVTJBE5EYLRCUFFKM4DY4XVDJ7T64Z7DN2R,,Institution 63,real_email_for_shareholder_communication@gmx.com,3/25/1978,206 Georgia Tech Sta,433 Ferst Dr,Atlanta,GA,30415,USA,3/24/2000,,,,
GAS3EAWSRXPSP55U3IPBKLJ763DJQTRSYCGOKWHEBTFJVF5OEUVG7BHG,,Institution 64,real_email_for_shareholder_communication@gmx.com,3/26/1978,207 Georgia Tech Sta,434 Ferst Dr,Atlanta,GA,30416,USA,3/25/2000,,,,
GDYC3FXGU5VMAXPCYWZIAWIUNGXBWB2VUKA4VZ4YACAFU2VQUORGUFIS,,Institution 65,real_email_for_shareholder_communication@gmx.com,3/27/1978,208 Georgia Tech Sta,435 Ferst Dr,Atlanta,GA,30417,USA,3/26/2000,,,,
GBQCVEASBBBBBLQTODVWJBZVAKPHDHL4DGWSC7B3UWTA27PQ2MKY4F6M,,Institution 66,real_email_for_shareholder_communication@gmx.com,3/28/1978,209 Georgia Tech Sta,436 Ferst Dr,Atlanta,GA,30418,USA,3/27/2000,,,,
GBB2LVWEFB3JAPOGQTBDAGABLKYPSXMGKMSQIKCGJE32II6ZOC6YXT23,,Institution 67,real_email_for_shareholder_communication@gmx.com,3/29/1978,210 Georgia Tech Sta,437 Ferst Dr,Atlanta,GA,30419,USA,3/28/2000,,,,
GB22R2WW42JHVFOAH5SFCVFUEIAK66XNQHKSLYKPMO5EBKPZNXYRLMB7,,Institution 68,real_email_for_shareholder_communication@gmx.com,3/30/1978,211 Georgia Tech Sta,438 Ferst Dr,Atlanta,GA,30420,USA,3/29/2000,,,,
GATPGP6ZHGI26S4WN7L5KXO7XEBVNMFH25MCF5XC5AXSDIIIWEOOIZQ3,,Institution 69,real_email_for_shareholder_communication@gmx.com,3/31/1978,212 Georgia Tech Sta,439 Ferst Dr,Atlanta,GA,30421,USA,3/30/2000,,,,
GCKEBUMAX7OBVBH7OP4X4QGT4NXXYP2XQNRRROARAVEOA3DWNNDQPJKX,,Institution 70,real_email_for_shareholder_communication@gmx.com,4/1/1978,213 Georgia Tech Sta,440 Ferst Dr,Atlanta,GA,30422,USA,3/31/2000,,,,
GDLMVK6VNWYPX3A2JRH6WB2UYEPSR5MNBPZK5NZVB7ALZYOWHKEXMGHA,,Institution 71,real_email_for_shareholder_communication@gmx.com,4/2/1978,214 Georgia Tech Sta,441 Ferst Dr,Atlanta,GA,30423,USA,4/1/2000,,,,
